participant,group,veriStim_resp.rt,veriStim_resp.corr,mult_type,error_distance,interferenceScore,problemType,problemSize,interferenceLevel,mult_problem
10010,CAB,1.0179,1,correct,0,0,non-tie,small-sized,low,3 × 2 = 6
10010,CAB,1.1121,1,correct,0,7,tie,large-sized,low,7 × 7 = 49
10010,CAB,1.0964,1,correct,0,12,non-tie,small-sized,high,6 × 4 = 24
10010,CAB,2.3008,1,lure,3,8,non-tie,small-sized,high,6 × 3 = 15
10010,CAB,1.1517,1,correct,0,9,non-tie,large-sized,high,5 × 8 = 40
10010,CAB,1.0141,1,correct,0,4,non-tie,small-sized,low,7 × 2 = 14
10010,CAB,1.5964,1,lure,4,25,non-tie,large-sized,high,4 × 8 = 36
10010,CAB,2.3306,1,lure,9,19,non-tie,large-sized,high,8 × 9 = 63
10010,CAB,0.9302,1,correct,0,4,tie,large-sized,low,6 × 6 = 36
10010,CAB,1.816,1,lure,5,0,non-tie,small-sized,low,5 × 2 = 15
10010,CAB,1.814,1,correct,0,11,non-tie,large-sized,high,6 × 8 = 48
10010,CAB,1.2604,1,lure,7,9,non-tie,large-sized,high,8 × 7 = 49
10010,CAB,1.1652,1,correct,0,25,non-tie,large-sized,high,4 × 8 = 32
10010,CAB,1.112,1,lure,2,0,tie,small-sized,low,2 × 2 = 2
10010,CAB,1.564,1,lure,6,22,non-tie,large-sized,high,7 × 6 = 36
10010,CAB,1.0964,1,correct,0,7,non-tie,small-sized,low,2 × 8 = 16
10010,CAB,1.3815,1,lure,6,13,non-tie,large-sized,high,9 × 6 = 48
10010,CAB,0.9967,0,lure,5,6,non-tie,large-sized,low,6 × 5 = 25
10010,CAB,2.0469,1,lure,2,0,non-tie,small-sized,low,2 × 5 = 12
10010,CAB,0.9791,1,correct,0,12,non-tie,small-sized,high,4 × 6 = 24
10010,CAB,1.6202,1,lure,2,0,non-tie,small-sized,low,2 × 3 = 8
10010,CAB,1.1375,1,correct,0,6,non-tie,large-sized,low,9 × 5 = 45
10010,CAB,1.4469,1,correct,0,9,non-tie,large-sized,high,7 × 8 = 56
10010,CAB,1.8816,1,lure,5,9,non-tie,large-sized,high,8 × 5 = 35
10010,CAB,1.6447,1,lure,8,19,tie,large-sized,high,8 × 8 = 72
10010,CAB,1.07,1,correct,0,0,tie,small-sized,low,3 × 3 = 9
10010,CAB,0.9458,1,correct,0,7,tie,large-sized,low,7 × 7 = 49
10010,CAB,1.0136,1,correct,0,1,non-tie,small-sized,low,2 × 4 = 8
10010,CAB,1.1131,1,correct,0,7,non-tie,large-sized,low,5 × 7 = 35
10010,CAB,1.6958,1,lure,4,17,non-tie,large-sized,high,4 × 7 = 32
10010,CAB,1.264,1,correct,0,22,non-tie,large-sized,high,7 × 6 = 42
10010,CAB,4.433,1,lure,9,17,non-tie,large-sized,high,7 × 9 = 54
10010,CAB,2.2696,1,correct,0,25,non-tie,large-sized,high,8 × 4 = 32
10010,CAB,1.1119,1,lure,3,2,non-tie,small-sized,low,3 × 5 = 18
10010,CAB,1.08,1,correct,0,2,non-tie,small-sized,low,5 × 3 = 15
10010,CAB,1.1624,1,correct,0,7,non-tie,small-sized,low,9 × 2 = 18
10010,CAB,1.1299,1,correct,0,6,tie,large-sized,low,9 × 9 = 81
10010,CAB,3.5183,1,correct,0,9,non-tie,large-sized,high,4 × 9 = 36
10010,CAB,0.845,1,correct,0,0,tie,small-sized,low,3 × 3 = 9
10010,CAB,0.6961,1,correct,0,2,non-tie,small-sized,low,3 × 5 = 15
10010,CAB,4.6297,1,lure,4,9,non-tie,large-sized,high,9 × 4 = 32
